2022-12-14 19:43:00.105544: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 19:43:00.833282: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 19:43:01.822835: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 19:43:02.654183: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 19:43:03.381174: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.292130: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.296094: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.300095: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.303128: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.305127: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.308094: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.313096: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.316092: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.319519: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.337530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.339531: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.342569: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.346534: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.350530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.353530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.355564: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.358530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.361531: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.365568: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.368529: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.370531: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.373532: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.376530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.379567: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.383529: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.385530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
2022-12-14 20:17:58.388530: memoryview: a bytes-like object is required, not 'ClientConnectorError'
